Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31
Market Capitalization,57,70,43,64,66,73,116,310,435,358,414,360,413,-,-,-,-,-,-
Market Cap Growth,-,-3.50%,-62.88%,-79.24%,-84.71%,-79.58%,-71.85%,-13.94%,5.27%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,132,145,16,159,72,117,26,142,168,-21,-166,-164,-122,-212,-,-,-,-112,-17
PE Ratio,-2.26,-2.26,-2.22,-0.73,-0.53,-0.68,-0.75,-5.08,34.71,-16.64,-50.25,-15.89,-8.89,-,-,-,-,-,-
PS Ratio,0.05,0.06,0.02,0.04,0.04,0.03,0.07,0.18,0.26,0.29,0.38,0.35,0.42,-,-,-,-,-,-
PB Ratio,0.53,0.65,0.13,0.19,0.18,0.67,0.34,0.75,0.88,0.76,0.82,0.72,0.85,-,-,-,-,-,-
Debt / Equity Ratio,3.11,3.11,1.18,1.52,1.36,4.53,1.33,1.05,0.90,0.75,0.24,0.19,0.13,-0.12,-,-,-,-0.10,-0.06
Current Ratio,0.96,0.96,1.25,1.24,1.28,0.99,1.43,1.86,1.98,1.81,2.16,2.42,2.46,1.28,-,-,-,1.07,0.86
Buyback Yield / Dilution,-0.01%,0.13%,0.01%,0.09%,1.02%,-1.99%,0.83%,-0.51%,-102.04%,-132.35%,-124.12%,-128.09%,-15.21%,3.14%,-3.20%,-,-,-,-
Total Shareholder Return,-0.01%,0.13%,0.01%,0.09%,1.02%,-1.99%,0.83%,-0.51%,-102.04%,-132.35%,-124.12%,-128.09%,-15.21%,3.14%,-3.20%,-,-,-,-
