Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"2,003","2,957","3,854","3,421","3,716","3,872","2,695","2,516","2,494","2,780","2,408","1,726","2,210","2,210","2,862","2,565","2,613","2,278","1,937","2,275","2,158","1,968","1,917","2,048","1,803","1,758","1,855","1,424","1,202","1,208","1,221","1,208","1,226","1,054","1,026",854,917,938,899,806,789,Upgrade
Market Cap Growth,-,-23.63%,43.01%,35.95%,48.99%,39.29%,11.91%,45.79%,12.86%,25.81%,-15.86%,-32.72%,-15.43%,-3.01%,47.72%,12.78%,21.08%,15.76%,1.06%,11.06%,19.69%,11.96%,3.34%,43.82%,50.00%,45.45%,51.97%,17.88%,-1.96%,14.69%,19.00%,41.44%,33.67%,12.38%,14.13%,5.94%,16.19%,26.32%,43.18%,23.73%,25.00%,Upgrade
Enterprise Value,"2,493","3,447","3,614","2,598","2,378","2,170",606,666,409,"1,187","1,292",754,"1,400","2,284","3,014","2,639","2,918","2,294","1,945","2,324","2,136","2,101","2,027","2,130","1,887","1,842","1,901","1,366","1,168","1,305","1,289","1,309","1,217","1,292","1,254",996,992,"1,143","1,131","1,007","1,010",Upgrade
PE Ratio,7.64,10.87,14.61,18.15,23.73,29.25,22.27,16.35,16.76,20.42,19.87,12.88,14.64,14.10,17.33,17.38,20.29,17.62,15.93,20.00,20.63,20.93,21.98,24.88,22.84,22.32,24.20,18.04,15.60,16.31,18.79,19.65,20.91,18.84,17.14,15.69,17.18,18.25,17.88,16.24,16.95,Upgrade
PS Ratio,2.72,4.02,5.34,5.33,6.40,7.28,5.51,5.11,5.21,6.12,5.64,3.95,4.80,4.46,5.70,5.39,5.97,5.74,5.07,6.19,6.04,5.65,5.66,6.26,5.70,5.69,6.10,4.72,4.03,4.10,4.22,4.29,4.49,4.00,4.01,3.41,3.73,3.88,3.74,3.40,3.40,Upgrade
PB Ratio,0.71,1.05,1.34,1.21,1.29,1.31,0.89,1.43,1.43,1.62,1.41,1.02,1.32,1.32,1.68,1.53,1.60,2.06,1.81,2.28,2.21,2.06,2.03,2.20,1.97,2.00,2.15,1.74,1.50,1.53,1.58,1.59,1.65,1.44,1.60,1.36,1.49,1.56,1.52,1.45,1.45,Upgrade
Debt / Equity Ratio,0.35,0.35,0.04,0.04,0.05,0.05,0.05,0.09,0.10,0.10,0.11,0.18,0.18,0.33,0.18,0.17,0.31,0.28,0.24,0.30,0.31,0.31,0.34,0.37,0.35,0.35,0.39,0.37,0.37,0.37,0.45,0.46,0.52,0.54,0.63,0.59,0.56,0.70,0.76,0.91,1.03,Upgrade
Dividend Yield,4.67%,0.84%,0.65%,0.68%,0.64%,0.62%,0.72%,0.63%,0.64%,0.57%,0.63%,0.88%,0.69%,0.71%,0.53%,0.59%,0.58%,0.54%,0.55%,0.46%,0.49%,0.53%,0.46%,0.43%,0.48%,0.49%,0.42%,0.54%,0.64%,0.63%,0.56%,0.57%,0.56%,0.62%,0.56%,0.67%,0.63%,0.61%,0.57%,0.63%,0.64%,Upgrade
Payout Ratio,35.80%,40.40%,32.70%,32.50%,38.60%,45.50%,-342.90%,39.70%,42.10%,38.10%,43.80%,43.40%,60.50%,59.00%,31.90%,29.10%,49.40%,35.20%,35.20%,31.70%,33.60%,38.00%,40.00%,36.80%,42.70%,41.60%,45.30%,37.20%,37.70%,40.80%,35.10%,36.60%,38.80%,68.40%,36.40%,36.40%,38.70%,42.90%,48.90%,34.40%,39.30%,Upgrade
Buyback Yield / Dilution,4.99%,4.99%,-12.93%,-38.71%,-41.22%,-43.49%,-22.57%,-0.25%,-0.25%,3.49%,4.23%,4.14%,4.02%,-21.52%,-23.54%,-24.63%,-24.56%,-2.20%,-1.27%,-0.32%,-1.19%,-1.63%,-2.80%,-4.31%,-3.44%,-3.01%,-1.81%,-0.43%,-0.50%,-5.11%,-9.31%,-9.42%,-9.29%,-4.69%,-2.48%,-4.14%,-4.58%,-4.59%,-5.20%,-6.18%,-5.99%,Upgrade
Total Shareholder Return,9.66%,5.83%,-12.28%,-38.03%,-40.58%,-42.86%,-21.85%,0.38%,0.39%,4.06%,4.86%,5.02%,4.71%,-20.81%,-23.02%,-24.04%,-23.98%,-1.66%,-0.73%,0.14%,-0.70%,-1.10%,-2.35%,-3.88%,-2.95%,-2.52%,-1.40%,0.11%,0.14%,-4.47%,-8.75%,-8.86%,-8.74%,-4.07%,-1.92%,-3.47%,-3.96%,-3.98%,-4.63%,-5.55%,-5.35%,Upgrade
