Metrics,Current,2022-12-31,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,+58 Quarters
Market Capitalization,"46,592","44,469","38,715","38,423","50,194","52,749",-,"43,831","32,725","25,749","26,109","20,063","44,515","39,675","42,840","46,559","38,850","46,784","51,276","56,976","64,857","64,173",-,-,"52,246","52,870","62,553","56,590","44,859","46,686","42,690","42,847","42,440","34,828","29,412","22,595","29,457","25,888","21,981","25,582","22,505",Upgrade
Market Cap Growth,-,-15.70%,-,-12.34%,53.38%,104.86%,-,118.47%,-26.49%,-35.10%,-39.05%,-56.91%,14.58%,-15.19%,-16.45%,-18.28%,-40.10%,-27.10%,-,-,24.14%,21.38%,-,-,16.47%,13.25%,46.53%,32.08%,5.70%,34.05%,45.14%,89.63%,44.07%,34.54%,33.81%,-11.68%,30.89%,22.67%,-36.86%,-30.52%,-25.23%,Upgrade
Enterprise Value,"17,531","79,345","19,859","21,253","58,854","31,602","54,943","34,988","-3,265","27,138","46,512","104,027","141,766","127,273","130,406","143,968","134,865",-,"152,994",-,"169,905","169,532","121,225","87,662","190,654","131,247","155,998","156,177","201,673","152,279",-,-,-,-,-,-,"206,593","-24,034","-15,795","-50,791","183,868",Upgrade
PE Ratio,8.76,9.44,7.60,20.70,11.84,8.92,0,10.08,10.40,7.55,20.18,6.92,11.69,6.82,6.89,9.62,7.06,13.94,8.29,10.75,14.77,0,0,0,-66.35,11.49,10.64,7.39,11.68,11.65,9.25,-5.17,0,0,0,0,6.51,8.32,6.44,8.39,43.35,Upgrade
PS Ratio,2.17,8.45,7.46,7.72,10.04,10.49,0,8.62,7.26,5.55,5.21,4.11,9.81,7.93,8.74,9.41,7.95,9.24,10.72,11.74,13.69,0,0,0,12.03,12.63,13.74,12.16,12.04,11.03,10.51,10.46,0,0,0,0,2.81,2.52,2.16,2.05,1.13,Upgrade
PB Ratio,0.83,0.82,0.69,0.66,0.86,0.88,0,0.74,0.63,0.44,0.44,0.34,0.77,0.69,0.75,0.82,0.71,0,0.95,0,1.19,1.19,0,0,1.01,1.06,1.24,0.98,0.89,0.92,0,0,0,0,0,0,0.55,0.43,0.42,0.47,0.49,Upgrade
Debt / Equity Ratio,18.38,18.38,18.75,17.84,16.63,16.82,16.38,16.80,18.64,16.63,17.12,16.37,15.57,16.22,16.35,16.13,16.40,0,17.11,0,15.77,16.34,15.96,17.03,16.59,17.72,17.48,18.46,20.01,19.84,0,0,0,0,0,0,22.40,21.32,24.13,23.52,28.91,Upgrade
Current Ratio,0.19,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Asset Turnover,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0,0.00,0,0.01,0,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,Upgrade,
Return on Equity (ROE),2.18%,2.28%,0.80%,1.82%,2.47%,2.60%,1.83%,1.52%,1.45%,0.55%,1.23%,1.64%,2.51%,2.73%,2.12%,2.50%,0.00%,2.86%,0.00%,2.01%,0.00%,-,-,-0.38%,2.31%,2.91%,3.31%,1.90%,1.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.11%,1.29%,1.61%,1.39%,0.28%,Upgrade,
