Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+19 Quarters
Market Capitalization,"54,767","45,225","39,973","36,973","27,432","34,564","43,583","35,495","34,465","28,167","23,046","19,201","26,218","19,913","24,684","22,623","21,039","19,557","16,338","14,310","12,348","9,882","10,058","9,555","8,589","8,253","6,918","6,344","5,534","6,600","7,245","7,558","10,098","9,889","9,949","9,265","9,927","6,581","7,013","5,718","5,189",Upgrade
Market Cap Growth,-,30.84%,-8.28%,4.16%,-20.41%,22.71%,89.11%,84.86%,31.45%,41.46%,-6.63%,-15.13%,24.62%,1.82%,51.08%,58.09%,70.39%,97.90%,62.44%,49.77%,43.76%,19.74%,45.38%,50.62%,55.21%,25.06%,-4.51%,-16.06%,-45.19%,-33.26%,-27.18%,-18.43%,1.72%,50.26%,41.85%,62.03%,91.30%,30.55%,89.00%,58.89%,73.27%,Upgrade
Enterprise Value,"89,442","80,174","69,314","65,522","54,212","59,165","71,635","64,133","60,199","53,260","49,477","44,765","51,156","42,908","48,460","44,279","43,534","39,033","36,037","31,282","29,039","29,115","27,516","26,035","24,303","23,391","21,117","20,279","19,802","21,289","23,172","20,835","21,920","18,911","18,392","16,276","15,332","7,516","7,117","6,150","5,241",Upgrade
PE Ratio,-88.05,-88.05,-43.92,-87.65,34.24,11.89,9.56,6.42,6.31,5.77,11.84,19.57,157.87,-1096.63,12.52,21.27,14.39,12.01,14.88,8.64,10.55,11.03,10.21,9.66,7.23,9.42,24.10,42.76,-14.03,-58.94,14.83,16.59,13.72,18.38,20.83,12.25,11.40,9.30,10.15,11.21,11.99,Upgrade
PS Ratio,6.95,5.77,6.99,5.11,2.78,2.73,2.68,2.50,2.97,2.88,5.45,5.84,12.00,9.80,5.85,7.59,6.34,6.29,6.82,3.98,3.84,3.03,2.83,3.04,2.79,3.12,3.39,3.66,4.48,7.21,6.94,7.97,9.14,9.00,8.96,8.26,9.95,7.20,9.20,7.99,7.89,Upgrade
PB Ratio,2.77,2.30,2.13,2.12,1.44,2.20,2.48,2.10,2.15,1.92,1.68,1.57,2.63,2.13,2.28,2.24,2.13,2.10,1.89,1.59,1.47,1.34,1.40,1.39,1.28,1.32,1.17,1.09,1.01,1.23,1.31,1.34,1.70,1.77,1.85,1.69,1.81,2.19,2.58,2.29,2.27,Upgrade
Debt / Equity Ratio,2.27,2.27,2.27,2.30,2.05,2.43,2.19,2.43,2.35,2.46,2.44,2.58,2.88,2.82,2.50,2.50,2.60,2.39,2.58,2.25,2.38,2.98,2.95,2.96,2.90,3.15,3.12,3.02,3.26,3.13,3.37,2.93,2.67,2.09,2.01,1.88,1.92,1.08,0.70,0.81,0.75,Upgrade
Dividend Yield,1.29%,-,0.33%,0.36%,0.38%,0.25%,0.21%,0.26%,0.27%,0.30%,0.37%,0.41%,0.29%,0.35%,0.29%,0.31%,0.33%,0.35%,0.42%,0.65%,0.76%,0.92%,0.88%,0.90%,0.99%,0.96%,1.12%,1.21%,1.39%,1.09%,2.37%,2.51%,2.20%,1.67%,2.08%,3.27%,1.78%,2.37%,1.02%,2.26%,1.55%,Upgrade
Payout Ratio,-60.40%,0.00%,81.60%,-140.90%,-12.70%,-725.00%,17.10%,7.50%,6.60%,4.70%,5.10%,7.30%,10.80%,-5.40%,13.40%,28.40%,13.30%,9.50%,-15.60%,13.90%,12.80%,47.20%,50.00%,51.50%,19.50%,28.10%,42.10%,20.30%,76.20%,-21.90%,583.30%,-100.00%,54.80%,56.50%,-750.00%,319.00%,91.50%,66.70%,23.50%,57.50%,450.00%,Upgrade
Buyback Yield / Dilution,-49.81%,-49.81%,-34.00%,-34.89%,-7.99%,4.62%,-2.96%,-8.20%,-11.45%,-11.04%,-10.35%,-5.29%,-1.98%,-1.66%,-3.09%,-2.54%,-1.07%,-2.64%,-5.60%,-7.65%,-9.49%,-7.90%,-7.43%,-5.60%,-4.02%,-10.31%,1.12%,-6.15%,0.17%,4.65%,-6.59%,-0.03%,-17.67%,-45.25%,-47.05%,-46.70%,-37.61%,-15.27%,-16.47%,-19.60%,-18.05%,Upgrade
Total Shareholder Return,-48.51%,-49.81%,-33.66%,-34.53%,-7.60%,4.87%,-2.75%,-7.94%,-11.19%,-10.74%,-9.98%,-4.87%,-1.69%,-1.30%,-2.80%,-2.23%,-0.75%,-2.28%,-5.18%,-7.01%,-8.74%,-6.98%,-6.55%,-4.70%,-3.03%,-9.35%,2.24%,-4.94%,1.57%,5.74%,-4.22%,2.48%,-15.47%,-43.58%,-44.97%,-43.43%,-35.83%,-12.90%,-15.44%,-17.33%,-16.50%,Upgrade
