Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+26 Quarters
Market Capitalization,"15,133","15,924","17,207","17,428","14,752","14,609","12,831","12,579","10,791","11,327","8,263","6,064","6,183","4,334","7,457","6,741","6,806","5,882","5,296","5,683","5,842","5,499","5,153","4,640","3,835","3,587","3,139","2,664","2,005","2,206","4,052","3,789","4,468","4,232","4,402","4,622","5,002","5,272","4,786","4,023","4,023",Upgrade
Market Cap Growth,-,9.00%,34.11%,38.55%,36.71%,28.97%,55.27%,107.45%,74.52%,161.38%,10.82%,-10.05%,-9.15%,-26.32%,40.79%,18.62%,16.50%,6.97%,2.77%,22.48%,52.33%,53.28%,64.17%,74.17%,91.23%,62.65%,-22.52%,-29.68%,-55.11%,-47.88%,-7.96%,-18.04%,-10.67%,-19.72%,-8.02%,14.89%,24.32%,53.60%,56.58%,26.92%,7.89%,Upgrade
Enterprise Value,"15,344","16,392","16,787","16,568","15,819","15,584","13,572","13,669","12,032","12,152","8,810","7,114","7,291","5,349","8,634","7,844","8,261","7,077","6,211","6,770","6,879","6,461","6,022","5,759","4,492","4,250","3,862","3,420","2,759","2,898","4,816","4,552","5,189","4,856","5,045","5,271","5,685","5,873","5,292","4,548","4,539",Upgrade
PE Ratio,14.61,15.15,20.35,27.46,29.19,31.49,27.90,27.15,23.25,25.36,17.48,12.43,11.99,7.74,13.32,12.18,12.87,11.73,12.05,14.83,17.46,19.35,21.58,21.43,18.24,18.91,16.36,15.05,12.07,13.09,24.00,19.89,24.45,24.10,24.72,26.58,28.06,29.25,26.32,23.07,23.52,Upgrade
PS Ratio,1.66,1.78,2.00,2.08,1.80,1.81,1.66,1.75,1.62,1.85,1.41,1.06,1.09,0.76,1.33,1.23,1.26,1.11,1.02,1.14,1.24,1.23,1.20,1.11,0.93,0.88,0.78,0.66,0.49,0.53,0.95,0.87,1.02,0.96,1.01,1.06,1.16,1.24,1.16,1.01,1.05,Upgrade
PB Ratio,6.78,7.26,7.94,8.72,8.00,8.42,7.68,7.78,6.94,7.90,6.29,5.02,5.58,4.29,7.28,6.61,6.64,5.83,5.44,5.80,5.80,5.45,5.34,4.93,4.29,4.12,3.82,3.37,2.66,3.05,5.66,4.01,4.74,4.32,4.53,4.35,4.68,4.99,4.35,3.69,3.39,Upgrade
Debt / Equity Ratio,1.30,1.30,1.25,1.36,1.48,1.57,1.68,1.83,1.91,1.80,1.78,2.15,2.35,2.69,2.59,2.56,2.55,2.60,2.54,2.53,2.47,2.47,2.58,2.65,2.44,2.51,2.78,2.75,2.89,3.02,3.06,1.76,1.80,1.68,1.67,1.44,1.43,1.45,1.40,1.41,1.30,Upgrade
Dividend Yield,0.57%,0.15%,0.12%,0.12%,0.14%,0.14%,0.16%,0.16%,0.19%,0.18%,0.24%,0.33%,0.32%,0.47%,0.28%,0.31%,0.31%,0.37%,0.42%,0.40%,0.39%,0.42%,0.45%,0.50%,0.60%,0.64%,0.72%,0.84%,1.12%,1.02%,0.59%,0.64%,0.54%,0.58%,0.54%,0.53%,0.49%,0.47%,0.41%,0.50%,0.36%,Upgrade
Payout Ratio,7.90%,7.00%,6.20%,8.60%,12.40%,15.00%,18.50%,19.40%,16.80%,15.30%,17.90%,19.10%,19.40%,12.80%,15.80%,15.50%,14.30%,13.60%,17.90%,20.50%,18.80%,24.00%,35.20%,38.50%,32.90%,46.30%,54.30%,43.10%,46.30%,43.90%,86.20%,58.10%,48.10%,48.10%,49.00%,72.70%,55.80%,46.20%,43.20%,52.80%,32.10%,Upgrade
Buyback Yield / Dilution,1.96%,1.96%,0.93%,0.73%,0.39%,0.06%,-0.84%,-1.61%,-2.00%,-0.56%,1.53%,3.93%,6.12%,6.43%,6.70%,6.71%,6.91%,6.51%,4.59%,2.35%,0.36%,-0.85%,-1.68%,-2.32%,-2.58%,-2.66%,4.60%,6.76%,7.75%,8.76%,4.24%,5.27%,4.69%,4.95%,3.64%,3.66%,5.26%,3.69%,7.00%,6.12%,3.64%,Upgrade
Total Shareholder Return,2.54%,2.11%,1.04%,0.85%,0.53%,0.20%,-0.68%,-1.45%,-1.81%,-0.38%,1.78%,4.26%,6.44%,6.90%,6.97%,7.02%,7.22%,6.88%,5.01%,2.75%,0.75%,-0.43%,-1.23%,-1.83%,-1.98%,-2.02%,5.32%,7.60%,8.87%,9.78%,4.83%,5.90%,5.24%,5.53%,4.18%,4.19%,5.75%,4.16%,7.41%,6.62%,4.00%,Upgrade
