Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+60 Quarters
Market Capitalization,290,351,378,317,303,309,302,275,299,340,285,223,267,243,379,354,349,338,327,398,413,349,339,348,324,335,353,271,252,212,205,175,179,181,184,162,171,170,136,147,137,Upgrade
Market Cap Growth,-,13.56%,25.26%,15.52%,1.21%,-9.28%,5.65%,23.25%,12.17%,40.14%,-24.71%,-37.06%,-23.64%,-28.25%,15.86%,-11.14%,-15.42%,-3.14%,-3.59%,14.39%,27.53%,4.18%,-3.88%,28.47%,28.65%,58.15%,72.34%,54.50%,40.24%,17.02%,11.42%,8.17%,4.78%,6.40%,34.91%,10.58%,24.71%,15.71%,74.15%,75.26%,48.73%,Upgrade
Enterprise Value,-100,-40,-347,-419,-427,-717,-765,-910,-841,-481,-408,-220,-103,126,187,85,220,296,257,326,375,340,311,302,303,366,389,339,273,254,141,169,156,165,164,172,151,141,86,39,88,Upgrade
PE Ratio,7.18,8.61,10.88,11.00,11.65,11.33,10.39,8.64,9.44,10.79,9.46,7.59,8.78,7.90,11.86,11.47,11.82,11.97,12.40,18.50,21.12,19.87,20.83,19.13,18.06,19.82,22.14,17.62,18.01,15.77,16.02,15.16,16.12,16.97,17.56,-22.57,-22.22,-21.66,-16.98,5.14,4.18,Upgrade
PS Ratio,2.92,3.53,4.14,3.84,3.86,3.86,3.69,3.21,3.50,4.05,3.46,2.77,3.28,2.94,4.53,4.31,4.33,4.29,4.27,5.28,5.62,4.87,4.80,4.96,4.65,4.87,5.20,3.97,3.76,3.22,3.13,2.78,2.87,2.93,3.02,2.67,2.81,2.77,2.21,2.38,2.10,Upgrade
PB Ratio,1.11,1.35,1.53,1.34,1.25,1.26,1.19,1.09,1.21,1.40,1.19,0.95,1.16,1.09,1.74,1.67,1.70,1.71,1.72,2.17,2.30,1.99,1.96,2.01,1.90,2.02,2.18,1.67,1.59,1.37,1.35,1.17,1.22,1.25,1.29,1.16,1.24,1.26,1.03,1.08,1.03,Upgrade
Debt / Equity Ratio,0.12,0.12,0.12,0.13,0.12,0.35,0.33,0.34,0.32,0.37,0.38,0.39,0.40,0.41,0.37,0.48,0.49,0.51,0.53,0.60,0.59,0.70,0.77,0.65,0.73,0.87,0.77,0.77,0.92,0.88,0.90,0.92,0.94,0.95,0.91,0.92,0.94,0.96,0.99,0.97,1.00,Upgrade
Dividend Yield,3.78%,0.78%,0.73%,0.86%,0.90%,0.89%,0.91%,1.00%,0.91%,0.80%,0.96%,1.23%,1.02%,1.12%,0.63%,0.67%,0.68%,0.70%,0.73%,0.51%,0.49%,0.58%,0.50%,0.49%,0.42%,0.40%,0.29%,0.38%,0.40%,0.48%,0.50%,0.58%,0.57%,0.37%,0.37%,0.42%,0.39%,0.40%,-,-,-,Upgrade
Payout Ratio,27.10%,22.90%,22.90%,27.60%,42.10%,44.40%,44.40%,38.10%,34.80%,34.80%,30.80%,38.10%,36.40%,42.10%,29.20%,29.20%,29.20%,31.80%,33.30%,30.00%,30.00%,35.30%,83.30%,35.70%,28.60%,30.80%,25.00%,21.40%,27.30%,30.00%,27.30%,33.30%,33.30%,25.00%,28.60%,25.00%,25.00%,25.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-0.11%,-0.11%,-0.17%,-0.18%,-0.18%,-0.18%,-0.26%,-0.23%,-0.25%,-0.28%,-0.12%,-0.15%,-0.19%,-0.17%,-0.14%,-0.15%,-0.08%,-0.07%,-0.22%,-0.22%,-0.21%,-0.23%,-0.06%,-0.05%,-0.06%,-0.05%,-0.16%,-0.16%,-0.17%,-0.17%,-0.19%,-0.23%,-0.23%,-0.23%,-24.00%,-23.94%,-23.98%,-24.20%,-0.66%,-0.66%,-0.63%,Upgrade
Total Shareholder Return,3.67%,0.67%,0.56%,0.69%,0.73%,0.71%,0.65%,0.77%,0.66%,0.52%,0.84%,1.08%,0.83%,0.95%,0.49%,0.53%,0.61%,0.63%,0.51%,0.29%,0.28%,0.36%,0.44%,0.44%,0.36%,0.36%,0.13%,0.21%,0.23%,0.31%,0.31%,0.35%,0.33%,0.14%,-23.63%,-23.53%,-23.58%,-23.81%,-0.66%,-0.66%,-0.63%,Upgrade
