Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+54 Quarters
Market Capitalization,"26,698","26,734","30,140","27,843","25,120","29,298","35,118","32,274","28,848","24,301","21,774","20,156","19,602","15,668","17,555","16,362","15,936","14,473","13,374","14,115","15,239","14,361","12,771","12,938","11,809","11,581","11,088","11,175","10,639","10,879","9,554","9,009","8,230","8,600","8,041","7,158","6,591","6,259","6,670","5,373","5,436",Upgrade
Market Cap Growth,-,-8.75%,-14.18%,-13.73%,-12.92%,20.57%,61.28%,60.12%,47.17%,55.10%,24.03%,23.19%,23.00%,8.26%,31.26%,15.92%,4.57%,0.78%,4.72%,9.09%,29.05%,24.01%,15.18%,15.78%,10.99%,6.45%,16.06%,24.04%,29.27%,26.50%,18.81%,25.86%,24.87%,37.41%,20.57%,33.22%,21.24%,16.95%,61.81%,38.24%,41.04%,Upgrade
Enterprise Value,"31,690","31,658","35,286","33,190","30,661","34,932","40,704","38,082","34,281","29,570","24,727","23,330","22,540","18,788","20,620","19,633","19,146","17,638","16,351","17,417","18,417","17,823","16,344","15,923","14,687","14,518","14,028","14,370","13,749","12,833","11,360","10,943","9,906","10,365","9,688","9,021","8,443","8,108","8,633","7,520","7,590",Upgrade
PE Ratio,23.64,23.37,26.79,24.34,22.07,25.00,29.59,28.02,25.57,23.64,23.34,22.13,24.59,21.46,22.68,31.05,29.51,27.41,29.20,18.87,20.18,19.43,17.52,50.34,54.17,81.55,104.61,23.23,21.80,19.74,22.32,24.62,23.45,26.96,19.42,15.29,14.39,14.06,17.32,16.33,17.82,Upgrade
PS Ratio,4.30,4.30,4.84,4.56,4.25,5.08,5.97,5.49,4.86,4.10,3.87,3.86,3.99,3.43,4.12,3.78,3.79,3.47,3.13,3.39,3.66,3.48,3.24,3.32,3.06,3.07,2.99,3.11,3.01,3.16,2.81,2.61,2.42,2.49,2.30,2.09,1.93,1.86,2.08,1.72,1.78,Upgrade
PB Ratio,4.34,4.34,4.90,4.74,4.30,4.87,5.49,5.09,4.33,3.84,3.39,3.35,3.41,2.90,3.11,3.07,2.87,2.63,2.45,2.52,2.75,2.51,2.17,2.26,2.12,2.16,2.04,1.94,1.86,1.91,1.70,1.62,1.44,1.55,1.39,1.17,1.06,1.00,1.08,0.89,0.93,Upgrade
Debt / Equity Ratio,0.90,0.90,0.95,0.99,1.06,1.06,0.97,1.00,0.92,0.99,0.92,0.66,0.68,0.82,0.66,0.71,0.69,0.71,0.70,0.69,0.69,0.72,0.72,0.65,0.64,0.68,0.66,0.64,0.65,0.45,0.42,0.44,0.40,0.42,0.40,0.38,0.39,0.40,0.43,0.45,0.48,Upgrade
Current Ratio,0.98,0.98,0.97,0.96,0.94,0.92,0.94,0.98,1.02,1.02,1.56,1.16,1.11,0.97,1.01,0.95,0.96,0.84,0.97,0.94,0.93,0.93,1.05,1.15,0.99,1.01,1.12,1.07,1.07,1.07,1.12,1.11,1.10,1.07,1.14,1.11,1.09,0.98,1.13,1.14,1.08,Upgrade
Dividend Yield,1.47%,0.37%,0.33%,0.35%,0.39%,0.30%,0.26%,0.28%,0.31%,0.33%,0.37%,0.40%,0.41%,0.50%,0.44%,0.47%,0.49%,0.50%,0.54%,0.51%,0.48%,0.44%,0.50%,0.49%,0.53%,0.46%,0.48%,0.48%,0.50%,0.38%,0.43%,0.47%,0.51%,0.29%,0.31%,0.35%,0.39%,0.35%,0.32%,0.40%,0.39%,Upgrade
Payout Ratio,34.30%,32.30%,40.80%,33.30%,32.10%,31.60%,35.30%,31.60%,26.00%,27.00%,36.00%,30.40%,33.30%,38.30%,38.30%,51.80%,44.90%,29.60%,-169.00%,44.50%,45.00%,36.00%,25.90%,37.40%,43.30%,31.80%,-23.30%,40.70%,76.40%,31.10%,27.70%,30.00%,31.60%,294.10%,29.40%,20.60%,25.00%,21.20%,15.40%,18.90%,24.30%,Upgrade
Buyback Yield / Dilution,0.86%,0.86%,2.07%,2.07%,-0.36%,0.23%,-1.94%,-1.79%,-0.01%,0.13%,-0.07%,0.26%,0.99%,0.25%,0.03%,-0.11%,0.76%,0.68%,1.37%,1.37%,-1.08%,0.11%,-0.62%,-0.81%,-0.40%,-1.75%,-0.59%,2.06%,2.43%,2.93%,2.05%,-0.11%,1.20%,0.35%,-0.05%,-0.84%,-2.94%,-2.26%,-1.60%,-0.26%,2.49%,Upgrade
Total Shareholder Return,2.33%,1.22%,2.40%,2.42%,0.04%,0.54%,-1.68%,-1.51%,0.29%,0.46%,0.29%,0.66%,1.40%,0.74%,0.47%,0.37%,1.25%,1.19%,1.91%,1.89%,-0.60%,0.55%,-0.12%,-0.32%,0.13%,-1.28%,-0.11%,2.53%,2.93%,3.30%,2.47%,0.35%,1.71%,0.65%,0.26%,-0.49%,-2.55%,-1.91%,-1.28%,0.14%,2.88%,Upgrade
