Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+50 Quarters
Market Capitalization,200,269,310,236,234,259,267,264,265,263,212,162,160,174,250,265,244,237,226,286,272,237,232,242,210,208,218,177,181,164,183,198,176,168,179,181,175,168,171,157,158,Upgrade
Market Cap Growth,-,3.89%,16.27%,-10.52%,-11.75%,-1.65%,26.08%,62.55%,65.80%,50.91%,-15.51%,-38.68%,-34.48%,-26.34%,10.69%,-7.30%,-10.12%,-0.26%,-2.46%,18.24%,29.37%,14.34%,6.43%,36.28%,16.20%,26.28%,19.40%,-10.63%,2.92%,-2.24%,1.80%,9.84%,0.62%,0.15%,4.82%,14.98%,10.79%,14.77%,16.62%,20.49%,13.36%,Upgrade
Enterprise Value,95,164,85,-136,-68,-239,-343,-192,-45,97,133,98,106,149,188,206,207,225,201,265,281,202,200,203,232,181,218,182,155,137,176,118,130,181,172,92,117,100,118,120,96,Upgrade
PE Ratio,7.21,9.49,10.09,7.80,8.07,7.95,7.11,6.68,6.25,5.98,6.44,5.93,6.94,10.02,12.11,12.63,13.07,11.69,11.31,18.58,17.39,17.73,17.64,14.61,14.90,13.97,15.13,11.87,10.53,9.34,10.27,9.74,9.38,9.19,10.30,13.46,13.24,13.65,13.88,12.26,11.76,Upgrade
PS Ratio,1.58,2.12,2.44,1.85,1.85,1.98,1.95,1.85,1.80,1.77,1.61,1.35,1.46,1.74,2.43,2.63,2.54,2.50,2.41,3.09,2.88,2.52,2.44,2.52,2.21,2.14,2.24,1.81,1.83,1.67,1.83,2.04,1.96,2.03,2.46,2.75,2.82,2.90,2.97,2.68,2.64,Upgrade
PB Ratio,0.89,1.20,1.42,1.12,1.09,1.15,1.12,1.09,1.12,1.14,0.96,0.76,0.77,0.88,1.21,1.30,1.18,1.13,1.10,1.41,1.36,1.22,1.20,1.24,1.10,1.10,1.17,0.96,0.98,0.91,1.03,1.13,1.03,1.01,1.09,1.14,1.11,1.15,1.19,1.10,1.13,Upgrade
Debt / Equity Ratio,0.15,0.15,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.16,0.17,0.17,0.17,0.31,0.16,0.16,0.16,0.32,0.25,0.25,0.23,0.25,0.24,0.25,0.25,0.29,0.27,0.27,0.27,0.29,0.29,0.37,0.34,0.35,0.39,0.26,0.26,0.28,0.32,0.34,0.33,Upgrade
Dividend Yield,5.68%,1.28%,0.93%,1.22%,1.02%,0.95%,0.88%,0.90%,0.88%,0.88%,1.05%,1.38%,1.37%,1.28%,0.88%,0.84%,0.85%,0.88%,0.83%,0.66%,0.62%,0.70%,0.66%,0.63%,0.70%,0.71%,0.64%,0.79%,0.73%,0.80%,0.73%,0.67%,0.71%,0.74%,0.70%,0.69%,0.67%,0.67%,0.66%,0.72%,0.63%,Upgrade
Payout Ratio,40.50%,70.60%,33.10%,28.20%,49.40%,33.60%,28.40%,26.60%,27.60%,18.90%,21.70%,18.70%,22.10%,212.50%,47.10%,29.20%,48.40%,47.60%,38.60%,35.10%,28.20%,40.70%,733.30%,27.50%,40.40%,38.20%,38.50%,44.40%,30.20%,38.80%,32.20%,24.40%,25.70%,34.60%,18.40%,33.30%,26.60%,41.50%,41.50%,32.10%,27.80%,Upgrade
Buyback Yield / Dilution,4.00%,4.00%,6.51%,8.38%,7.51%,4.46%,2.34%,2.30%,2.54%,4.32%,4.90%,4.39%,6.61%,6.03%,4.91%,4.05%,1.15%,-0.20%,-0.43%,-0.45%,0.30%,0.37%,0.48%,0.21%,-0.41%,-0.42%,-0.37%,-0.30%,-0.39%,-0.49%,-0.38%,-0.47%,-0.32%,-4.55%,-4.29%,-4.73%,-4.99%,-0.58%,-1.02%,-0.55%,-0.26%,Upgrade
Total Shareholder Return,9.68%,5.28%,7.44%,9.60%,8.53%,5.41%,3.22%,3.20%,3.42%,5.20%,5.94%,5.77%,7.98%,7.31%,5.79%,4.89%,2.00%,0.69%,0.40%,0.21%,0.91%,1.07%,1.14%,0.84%,0.29%,0.29%,0.28%,0.48%,0.34%,0.32%,0.35%,0.20%,0.39%,-3.81%,-3.60%,-4.04%,-4.31%,0.09%,-0.36%,0.16%,0.36%,Upgrade
