Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Market Capitalization,828,989,"1,126",916,922,"1,004","1,008",995,997,997,653,502,516,476,889,792,784,809,805,888,924,-,-,-,-,-,-
Market Cap Growth,-,-1.51%,11.63%,-7.98%,-7.53%,0.73%,54.49%,98.28%,93.11%,109.43%,-26.53%,-36.62%,-34.09%,-41.12%,10.38%,-10.77%,-15.20%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"1,080","1,241","1,608","1,268","1,650",883,770,"1,110","1,024","1,215","1,417",719,917,711,"1,024",913,"1,195","1,042","1,143","1,115",903,-105,-33,-,-,-,-140
PE Ratio,8.30,10.83,12.83,10.58,9.48,9.68,9.29,10.18,11.89,16.31,17.95,15.87,15.58,11.76,16.49,14.63,15.13,15.74,16.55,22.01,37.31,-,-,-,-,-,-
PS Ratio,2.54,3.03,3.66,3.18,3.24,3.50,3.49,3.60,3.85,4.32,3.33,2.67,2.77,2.45,4.22,3.79,3.82,4.04,4.16,4.79,5.38,-,-,-,-,-,-
PB Ratio,0.83,1.00,1.19,1.01,1.43,1.48,1.38,1.41,1.45,1.52,1.01,0.80,0.84,0.79,1.48,1.35,1.34,1.42,1.46,1.67,1.78,-,-,-,-,-,-
Debt / Equity Ratio,1.09,1.09,0.89,0.72,1.63,0.68,0.64,0.66,0.68,0.74,1.76,0.70,0.91,1.31,0.71,0.73,1.05,0.61,0.83,0.69,0.29,0.33,0.37,-,-,-,0.29
Dividend Yield,2.23%,0.47%,0.41%,0.39%,0.39%,0.31%,0.30%,0.31%,0.31%,0.24%,0.36%,0.43%,0.42%,0.45%,0.24%,0.28%,0.10%,0.10%,0.10%,0.09%,0.08%,-,-,-,-,-,-
Payout Ratio,18.50%,19.00%,15.30%,26.30%,16.70%,14.90%,10.80%,11.30%,11.00%,9.20%,13.30%,16.40%,43.80%,306.70%,16.70%,15.00%,6.30%,5.50%,6.00%,6.30%,6.10%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,-29.56%,-29.56%,-30.55%,-1.30%,-1.19%,-1.01%,0.04%,-0.00%,-0.06%,0.00%,-0.11%,-0.11%,1.14%,1.00%,0.59%,0.43%,-5.21%,-7.82%,-7.24%,-,-,-,-,-,-,-,-
Total Shareholder Return,-27.33%,-29.09%,-30.14%,-0.91%,-0.80%,-0.71%,0.35%,0.30%,0.25%,0.24%,0.25%,0.32%,1.56%,1.45%,0.83%,0.70%,-5.11%,-7.72%,-7.15%,0.09%,0.08%,-,-,-,-,-,-
