Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
Market Capitalization,7,10,7,12,19,31,32,17,15,15,11,10,8,5,4,5,7,6,4,11,10,13,12,23,33,39,36,30,30,31,35,36,37,36,35,39,32,40
Market Cap Growth,-,-67.36%,-78.47%,-27.19%,28.55%,116.81%,200.53%,67.61%,87.14%,189.77%,151.01%,111.11%,20.69%,-20.63%,18.25%,-54.94%,-33.71%,-51.13%,-70.70%,-53.00%,-69.59%,-66.57%,-65.53%,-25.24%,8.23%,24.69%,3.17%,-16.70%,-16.86%,-13.54%,-1.58%,-7.79%,13.79%,-11.00%,-,-,-,-
Enterprise Value,4,7,3,8,15,27,27,12,7,8,4,3,1,-2,-3,-3,-1,-2,-8,0,1,1,1,-2,1,7,0,-6,-5,-7,-4,-0,3,2,2,5,-5,3
PE Ratio,-8.15,-8.15,-3.88,-13.62,2.48,3.86,3.76,2.35,24.04,42.42,-214.44,-59.01,-52.46,-9.57,-14.00,-0.70,-1.08,-1.11,-0.63,15.55,-0.44,-0.58,-0.60,-0.99,10.81,13.75,13.86,5.73,10.06,8.12,7.53,6.12,5.60,6.59,8.81,14.61,18.03,32.30
PS Ratio,5.14,7.36,8.16,6.56,2.01,3.18,3.15,1.96,8.00,9.32,8.83,8.99,6.62,5.96,4.35,2.09,2.09,1.66,0.95,4.60,0.49,0.58,0.52,0.64,1.80,2.01,1.88,3.73,4.29,5.49,5.43,4.72,4.39,4.99,6.34,9.74,11.43,18.88
PB Ratio,0.47,0.68,0.46,0.86,1.18,1.93,1.94,1.12,1.76,1.80,1.34,1.29,1.02,0.65,0.53,0.60,0.83,0.77,0.43,0.72,0.72,0.94,0.89,1.62,0.88,1.03,0.96,0.75,0.80,0.82,0.94,0.99,0.99,0.96,0.96,1.10,0.92,1.17
Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.06,0.06,0.11,0.09,0.09,0.09,0.02,-,0.14,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.08%,2.12%,1.83%,2.02%,2.40%,2.39%,2.35%,2.10%,2.01%,1.98%,2.03%,3.31%,1.83%,-,-,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-3.00%,63.20%,54.50%,-31.60%,24.00%,85.70%,70.60%,200.00%,100.00%,44.40%,40.00%,80.00%,52.20%,0.00%,0.00%
Buyback Yield / Dilution,-1.85%,-1.85%,-0.57%,-0.84%,-0.84%,-0.30%,-0.15%,-,-,-,-,-,-,-,-,-,-,-,1.29%,0.92%,1.77%,2.69%,3.56%,4.15%,3.69%,2.77%,0.55%,0.38%,-,-0.25%,-24.55%,-1.00%,-1.00%,-335.90%,9.37%,-437.95%,-,-
Total Shareholder Return,-1.85%,-1.85%,-0.57%,-0.84%,-0.84%,-0.30%,-0.15%,-,-,-,-,-,-,-,-,-,-,-,1.29%,0.92%,1.77%,2.69%,3.56%,7.23%,5.81%,4.60%,2.57%,2.78%,2.39%,2.09%,-22.45%,1.01%,0.98%,-333.87%,12.69%,-436.12%,-,-
