Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+12 Quarters
Market Capitalization,"6,639","6,312","5,233","4,624","4,606","5,369","6,053","6,064","6,040","5,816","5,264","4,471","4,679","3,637","5,400","5,328","5,079","5,201","4,195","5,199","4,356","4,281","4,493","3,660","3,447","3,757","3,167","2,464","2,693","2,140","2,284","2,235","2,346","2,659","2,883","2,618","2,604","2,589","2,353","2,206","2,134",Upgrade
Market Cap Growth,-,17.55%,-13.54%,-23.75%,-23.74%,-7.68%,14.98%,35.62%,29.08%,59.90%,-2.52%,-16.09%,-7.88%,-30.07%,28.71%,2.49%,16.59%,21.52%,-6.63%,42.03%,26.39%,13.95%,41.87%,48.53%,28.00%,75.51%,38.66%,10.25%,14.77%,-19.50%,-20.78%,-14.63%,-9.89%,2.69%,22.55%,18.69%,22.04%,39.89%,36.18%,28.32%,33.37%,Upgrade
Enterprise Value,"6,692","6,434","5,383","4,826","4,848","5,660","6,321","6,308","5,815","5,802","5,144","4,569","4,747","3,794","5,571","5,519","5,263","5,352","4,307","5,347","4,570","4,463","4,587","3,856","3,665","3,944","3,328","2,642","2,853","2,337","2,504","2,449","2,567","2,853","3,066","2,828","2,828","2,806","2,578","2,433","2,390",Upgrade
PE Ratio,16.35,15.15,14.03,14.93,12.44,13.75,16.21,13.83,13.78,14.13,13.63,11.78,12.86,10.11,14.74,14.83,14.58,15.41,12.95,12.81,11.24,11.76,12.83,15.34,14.98,16.60,14.44,11.71,13.34,11.17,12.03,11.93,13.06,14.79,15.89,15.12,14.90,15.33,14.46,13.31,12.69,Upgrade
PS Ratio,2.42,2.32,1.92,1.68,1.66,1.94,2.23,2.35,2.46,2.50,2.37,2.08,2.22,1.75,2.63,2.65,2.58,2.69,2.21,2.80,2.42,2.46,2.66,2.23,2.16,2.41,2.09,1.67,1.86,1.51,1.63,1.60,1.70,1.96,2.16,2.00,2.03,2.06,1.91,1.87,1.83,Upgrade
PB Ratio,3.42,3.29,2.60,2.85,2.59,2.79,2.91,2.89,2.99,3.10,2.87,2.60,2.85,2.38,3.27,3.31,3.20,3.42,2.87,3.60,3.11,3.00,3.17,2.86,2.72,3.01,2.59,2.02,2.23,1.83,1.99,1.95,1.96,2.15,2.32,2.02,2.00,2.07,1.93,1.85,1.86,Upgrade
Debt / Equity Ratio,0.33,0.33,0.32,0.40,0.36,0.34,0.32,0.27,0.27,0.23,0.23,0.25,0.26,0.28,0.26,0.27,0.27,0.28,0.26,0.26,0.27,0.26,0.26,0.29,0.29,0.30,0.31,0.31,0.31,0.32,0.33,0.33,0.31,0.30,0.30,0.29,0.29,0.30,0.31,0.31,0.33,Upgrade
Dividend Yield,1.25%,0.38%,0.39%,0.45%,0.46%,0.40%,0.31%,0.31%,0.31%,0.32%,0.30%,0.36%,0.34%,0.45%,0.26%,0.27%,0.29%,0.28%,0.26%,0.21%,0.25%,0.26%,0.20%,0.25%,0.25%,0.23%,0.26%,0.34%,0.30%,0.39%,0.34%,0.36%,0.35%,0.32%,0.22%,0.25%,0.25%,0.26%,0.26%,0.27%,0.30%,Upgrade
Payout Ratio,20.80%,19.20%,15.70%,39.90%,19.60%,18.80%,53.40%,16.60%,14.60%,19.00%,15.80%,14.20%,15.90%,22.90%,15.10%,14.90%,14.90%,18.50%,12.60%,12.80%,12.80%,17.10%,5.40%,13.70%,14.00%,17.00%,14.90%,14.80%,13.80%,18.50%,16.50%,16.30%,17.00%,19.50%,14.30%,16.00%,13.50%,14.80%,16.40%,14.10%,14.50%,Upgrade
Buyback Yield / Dilution,6.43%,6.43%,6.62%,5.39%,2.91%,0.63%,-0.37%,0.08%,1.47%,4.02%,4.94%,5.68%,5.57%,3.97%,3.92%,3.42%,3.59%,4.26%,3.59%,4.01%,4.05%,3.28%,3.38%,3.49%,3.43%,4.53%,5.27%,6.09%,7.92%,7.81%,8.20%,8.48%,5.71%,4.60%,3.32%,0.39%,5.01%,5.43%,6.36%,10.73%,7.72%,Upgrade
Total Shareholder Return,7.70%,6.81%,7.01%,5.83%,3.36%,1.03%,-0.06%,0.39%,1.78%,4.34%,5.24%,6.03%,5.91%,4.42%,4.18%,3.68%,3.88%,4.55%,3.84%,4.22%,4.30%,3.54%,3.58%,3.74%,3.69%,4.76%,5.54%,6.44%,8.22%,8.20%,8.54%,8.83%,6.06%,4.92%,3.54%,0.64%,5.26%,5.69%,6.62%,11.00%,8.02%,Upgrade
