Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Market Capitalization,318,345,367,355,388,380,389,363,369,409,363,315,321,273,410,317,354,-,-,-,-,-,-
Market Cap Growth,-,-9.08%,-5.77%,-2.10%,5.18%,-7.19%,7.25%,15.11%,14.81%,50.20%,-11.38%,-0.56%,-9.14%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,93,120,93,58,36,-163,-392,-364,-294,-190,-80,49,84,197,281,215,262,-162,-141,-,-,-,-48
PE Ratio,8.16,8.83,9.94,10.08,11.69,11.77,11.81,11.44,11.96,13.89,12.90,11.41,11.82,10.53,16.50,13.08,15.03,-,-,-,-,-,-
PS Ratio,2.95,3.20,3.54,3.54,4.02,4.03,4.13,3.93,4.07,4.63,4.23,3.76,3.92,3.41,5.27,4.15,4.72,-,-,-,-,-,-
PB Ratio,1.15,1.25,1.38,1.46,1.53,1.43,1.31,1.21,1.26,1.44,1.27,1.13,1.19,1.03,1.63,1.29,1.49,-,-,-,-,-,-
Debt / Equity Ratio,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.04,0.08,0.06,-,-,-,0.06
Dividend Yield,0.65%,0.17%,0.14%,0.14%,0.13%,0.13%,0.13%,0.14%,0.14%,0.12%,0.12%,0.14%,0.14%,0.16%,-,-,-,-,-,-,-,-,-
Payout Ratio,5.30%,6.00%,4.90%,4.90%,5.50%,6.80%,5.90%,6.20%,6.20%,6.40%,6.10%,6.10%,6.40%,6.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,0.01%,0.01%,1.27%,1.27%,1.76%,1.75%,0.67%,0.71%,0.24%,0.19%,-0.26%,-0.30%,-0.31%,-1.56%,-1.33%,-,-,-,-,-,-,-,-
Total Shareholder Return,0.66%,0.17%,1.41%,1.41%,1.89%,1.88%,0.80%,0.85%,0.37%,0.32%,-0.14%,-0.16%,-0.17%,-1.40%,-1.33%,-,-,-,-,-,-,-,-
