Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+10 Quarters
Market Capitalization,93,96,101,105,99,100,115,118,120,108,82,77,63,54,92,93,88,86,83,100,98,93,85,85,76,79,70,61,59,57,56,50,53,50,47,45,44,43,43,39,36,Upgrade
Market Cap Growth,-,-3.67%,-11.90%,-11.14%,-17.41%,-7.69%,39.76%,52.96%,91.87%,99.38%,-10.87%,-17.01%,-28.43%,-37.20%,11.82%,-7.76%,-10.25%,-6.78%,-3.20%,17.70%,27.98%,16.92%,22.07%,40.18%,28.26%,39.64%,25.32%,22.71%,12.09%,14.37%,17.62%,10.72%,21.10%,14.38%,10.12%,14.64%,22.96%,32.60%,60.16%,48.97%,77.78%,Upgrade
Enterprise Value,65,69,105,92,68,-77,-49,-69,-97,-141,-92,-11,21,9,53,56,32,49,106,136,110,85,84,54,42,53,71,44,50,40,49,38,46,34,49,44,55,58,71,66,65,Upgrade
PE Ratio,10.23,10.41,11.52,13.50,12.75,11.86,12.58,10.90,11.42,10.40,9.22,10.51,9.60,8.74,13.84,14.36,13.00,12.57,11.75,15.26,16.32,17.46,16.66,15.51,13.29,13.96,13.01,12.09,12.66,12.12,11.66,11.35,11.80,11.14,11.20,10.08,10.42,10.52,10.94,10.23,10.35,Upgrade
PS Ratio,2.31,2.41,2.63,2.81,2.72,2.73,3.13,3.10,3.27,3.00,2.42,2.43,2.04,1.80,2.97,2.96,2.74,2.68,2.62,3.28,3.34,3.30,3.11,3.11,2.76,2.89,2.61,2.33,2.35,2.28,2.27,2.08,2.23,2.15,2.11,2.02,2.07,2.08,2.07,1.95,1.86,Upgrade
PB Ratio,0.94,0.98,1.04,1.10,1.07,1.07,1.23,1.28,1.34,1.24,0.96,0.93,0.78,0.69,1.19,1.22,1.17,1.19,1.15,1.43,1.42,1.39,1.31,1.35,1.21,1.29,1.16,1.04,1.05,1.02,1.02,0.94,1.02,0.96,0.94,0.91,0.91,0.93,0.93,0.85,0.78,Upgrade
Debt / Equity Ratio,0.55,0.55,0.63,0.67,0.52,0.21,0.21,0.22,0.21,0.23,0.23,0.34,1.10,0.22,0.22,0.29,0.34,0.48,1.18,1.39,1.04,0.86,0.92,0.46,0.41,0.43,0.92,0.66,0.64,0.58,0.75,0.47,0.52,0.37,0.61,0.44,0.84,0.62,0.94,0.89,0.90,Upgrade
Dividend Yield,1.94%,0.46%,0.44%,0.42%,0.45%,0.71%,0.39%,0.38%,0.37%,0.65%,0.47%,0.51%,0.62%,1.67%,0.40%,0.39%,0.41%,0.42%,0.44%,0.36%,0.37%,0.33%,0.30%,0.90%,0.34%,0.33%,0.28%,0.32%,0.32%,0.34%,0.28%,0.31%,0.29%,0.26%,0.27%,0.29%,0.30%,0.30%,0.30%,0.34%,0.37%,Upgrade
Payout Ratio,19.00%,20.20%,15.00%,17.20%,27.40%,40.90%,23.90%,17.00%,19.50%,28.40%,11.10%,16.70%,18.10%,92.10%,19.20%,23.00%,19.40%,24.60%,21.50%,19.20%,17.70%,18.50%,20.80%,61.20%,19.20%,17.50%,12.10%,12.90%,14.70%,16.70%,12.20%,13.30%,12.00%,10.40%,15.60%,10.20%,10.40%,12.80%,13.20%,12.80%,11.40%,Upgrade
Buyback Yield / Dilution,1.38%,1.38%,1.19%,1.36%,0.47%,-1.12%,-1.01%,-1.71%,-1.85%,-0.90%,0.38%,-0.42%,-0.30%,-0.85%,-1.60%,-0.34%,-0.43%,-0.29%,0.38%,-0.28%,1.37%,1.47%,0.48%,0.24%,-1.52%,-0.97%,-1.40%,-0.64%,1.69%,1.17%,1.25%,2.18%,-0.04%,0.07%,0.05%,0.95%,1.40%,1.55%,1.28%,-0.24%,-0.86%,Upgrade
Total Shareholder Return,3.31%,1.84%,1.62%,1.78%,0.92%,-0.41%,-0.62%,-1.33%,-1.48%,-0.25%,0.85%,0.08%,0.32%,0.82%,-1.20%,0.05%,-0.02%,0.12%,0.82%,0.08%,1.74%,1.80%,0.79%,1.14%,-1.17%,-0.64%,-1.13%,-0.32%,2.01%,1.51%,1.53%,2.48%,0.26%,0.33%,0.32%,1.24%,1.70%,1.85%,1.58%,0.10%,-0.49%,Upgrade
