Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,+45 Quarters
Market Capitalization,"28,880","27,204","23,301","26,846","32,718","32,582","30,102","30,154","29,575","26,136","23,943","21,603","18,864","27,272","26,817","24,752","22,987","20,262","24,273","24,505","25,103","25,316","24,433","21,935","22,426","23,406","19,829","20,006","19,665","19,013","19,658","20,353","18,781","21,974","22,102","22,370","21,103","20,766","18,791","17,410","16,040",Upgrade
Market Cap Growth,-,-16.51%,-22.59%,-10.97%,10.63%,24.67%,25.72%,39.58%,56.78%,-4.17%,-10.72%,-12.72%,-17.94%,34.60%,10.48%,1.01%,-8.43%,-19.97%,-0.66%,11.71%,11.93%,8.16%,23.22%,9.65%,14.04%,23.11%,0.87%,-1.71%,4.70%,-13.48%,-11.06%,-9.02%,-11.00%,5.82%,17.62%,28.49%,31.56%,33.17%,37.62%,36.12%,15.20%,Upgrade
Enterprise Value,"25,616","24,034","20,186","24,668","29,624","28,166","24,676","24,104","24,684","19,668","17,992","16,634","15,065","23,045","23,680","21,625","19,956","16,434","21,350","21,633","22,391","22,053","21,452","19,252","20,475","20,797","17,652","18,150","17,746","15,945","17,785","18,409","17,432","20,424","21,038","21,607","19,913","18,525","16,749","16,610","14,926",Upgrade
PE Ratio,12.90,12.18,9.65,9.26,10.69,10.60,10.62,11.23,12.43,13.86,13.39,12.72,11.46,13.65,14.17,13.71,12.35,10.85,14.91,13.48,14.29,15.00,11.44,11.01,11.98,12.66,11.35,12.72,11.20,12.04,12.26,12.05,13.20,14.49,13.63,27.91,28.14,23.45,24.62,10.83,11.82,Upgrade
PS Ratio,1.69,1.60,1.28,1.45,1.19,1.17,1.11,1.04,0.96,0.77,0.79,0.74,0.79,0.90,0.89,0.91,0.94,1.01,1.17,1.20,1.14,1.10,1.33,1.12,1.12,1.10,0.82,0.91,1.23,1.37,1.25,1.15,0.89,0.99,1.07,1.10,1.41,1.59,1.44,1.29,0.90,Upgrade
PB Ratio,1.44,1.36,1.14,1.33,1.59,1.59,1.47,1.45,1.51,1.36,1.30,1.21,1.13,1.53,1.52,1.37,1.29,1.15,1.40,1.39,1.42,1.44,1.37,1.28,1.35,1.43,1.21,1.24,1.23,1.24,1.27,1.26,1.20,1.35,1.35,1.34,1.30,1.27,1.16,1.04,0.95,Upgrade
Debt / Equity Ratio,0.25,0.25,0.27,0.25,0.26,0.25,0.18,0.19,0.20,0.22,0.18,0.21,0.17,0.17,0.20,0.17,0.18,0.18,0.19,0.19,0.19,0.21,0.19,0.19,0.20,0.23,0.24,0.20,0.25,0.22,0.27,0.25,0.25,0.27,0.27,0.28,0.27,0.30,0.31,0.30,0.33,Upgrade
Dividend Yield,4.26%,1.16%,1.34%,1.19%,0.92%,0.94%,0.84%,0.88%,0.87%,0.95%,1.35%,1.50%,1.71%,1.21%,1.17%,1.27%,0.99%,1.14%,0.92%,0.91%,0.87%,0.87%,0.88%,0.90%,0.86%,0.81%,0.96%,0.95%,0.90%,0.94%,0.89%,0.93%,0.93%,0.89%,0.91%,0.90%,0.94%,0.97%,1.07%,2.40%,1.29%,Upgrade
Payout Ratio,55.80%,45.40%,87.60%,52.30%,44.50%,36.30%,31.50%,36.70%,34.10%,42.30%,57.10%,84.00%,119.00%,59.10%,59.80%,68.80%,48.60%,52.70%,51.30%,41.60%,42.10%,134.00%,32.80%,45.20%,46.80%,35.40%,34.10%,51.70%,42.70%,45.90%,48.90%,32.60%,50.50%,45.40%,51.70%,50.30%,54.40%,40.20%,-41.10%,113.00%,42.20%,Upgrade
Buyback Yield / Dilution,-0.16%,-0.16%,-0.16%,-0.16%,-0.16%,0.47%,0.47%,0.47%,0.47%,1.77%,1.77%,1.77%,1.77%,1.97%,1.97%,1.97%,1.97%,0.51%,0.51%,0.51%,0.51%,-0.69%,-0.69%,-0.69%,-0.69%,-,-,-,-,-,-,-,-,-3.68%,-3.68%,-3.68%,-3.68%,-,1.05%,0.55%,0.04%,Upgrade
Total Shareholder Return,4.11%,0.99%,1.17%,1.02%,0.76%,1.41%,1.31%,1.36%,1.34%,2.72%,3.12%,3.27%,3.49%,3.18%,3.14%,3.24%,2.96%,1.65%,1.42%,1.42%,1.38%,0.18%,0.19%,0.21%,0.17%,0.81%,0.96%,0.95%,0.90%,0.94%,0.89%,0.93%,0.93%,-2.79%,-2.77%,-2.78%,-2.74%,0.97%,2.12%,2.94%,1.33%,Upgrade
