Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"1,255","1,506","2,128","1,875","1,794","1,869","2,027","2,012","1,953","2,134","1,732","1,358","1,555","1,488","2,218","2,197","2,153","2,192","1,907","2,275","2,212","2,113","2,158","2,244","2,178","2,152","2,411","1,864","1,680","1,557","1,557","1,565","1,688","1,640","1,655","1,553","1,665","1,709","1,803","1,720","1,651",Upgrade
Market Cap Growth,-,-19.40%,4.97%,-6.84%,-8.13%,-12.44%,17.03%,48.19%,25.58%,43.48%,-21.89%,-38.19%,-27.76%,-32.14%,16.27%,-3.46%,-2.67%,3.73%,-11.63%,1.42%,1.54%,-1.79%,-10.48%,20.38%,29.63%,38.20%,54.89%,19.07%,-0.43%,-5.03%,-5.95%,0.76%,1.35%,-4.06%,-8.22%,-9.67%,0.86%,5.42%,23.94%,9.08%,4.12%,Upgrade
Enterprise Value,"2,179","2,430","3,154","2,419","1,449",462,347,333,213,916,368,"1,259",887,"1,720","2,294","2,260","1,975","1,965","1,750","2,583","2,552","2,578","3,326","3,824","3,653","3,474","3,706","3,270","3,188","2,819","2,745","2,702","2,225","1,991","2,321","2,360","2,083","1,724","1,896","1,908","1,900",Upgrade
PE Ratio,13.52,16.20,29.60,14.18,16.18,15.00,13.76,11.68,9.50,11.25,10.82,9.51,12.02,10.68,14.74,14.34,14.50,15.00,12.75,17.68,17.42,19.00,20.43,18.89,18.91,19.10,22.24,17.36,16.03,13.67,13.41,13.47,13.90,13.25,13.39,12.58,13.54,14.10,15.41,14.73,14.53,Upgrade
PS Ratio,1.77,2.12,3.14,2.89,2.86,2.93,3.05,2.89,2.70,3.06,2.64,2.16,2.58,2.45,3.68,3.66,3.64,3.73,3.25,3.89,3.78,3.60,3.69,3.88,3.83,3.88,4.41,3.43,3.07,2.83,2.81,2.80,2.99,2.88,2.90,2.73,2.93,2.98,3.17,3.10,3.09,Upgrade
PB Ratio,0.80,0.96,1.43,1.24,1.13,1.15,1.16,1.14,1.10,1.21,1.00,0.79,0.93,0.90,1.34,1.34,1.33,1.38,1.20,1.42,1.40,1.35,1.37,1.42,1.40,1.40,1.59,1.21,1.10,1.03,1.06,1.06,1.16,1.13,1.17,1.10,1.19,1.24,1.33,1.29,1.24,Upgrade
Debt / Equity Ratio,1.42,1.42,1.18,0.68,0.25,0.31,0.34,0.28,0.30,0.32,0.34,0.27,0.21,0.39,0.26,0.33,0.14,0.14,0.12,0.46,0.46,0.50,0.96,1.22,1.15,1.11,1.07,1.17,1.20,0.99,1.00,0.92,0.55,0.47,0.69,0.74,0.53,0.32,0.32,0.39,0.42,Upgrade
Dividend Yield,4.48%,0.93%,0.66%,0.75%,0.79%,0.76%,0.71%,0.71%,0.75%,0.68%,0.84%,1.07%,0.94%,0.99%,0.67%,0.67%,0.69%,0.68%,0.81%,0.68%,0.70%,0.74%,0.72%,0.69%,0.72%,0.72%,0.65%,0.83%,0.93%,1.00%,1.00%,0.99%,0.92%,0.95%,0.94%,1.00%,0.93%,0.91%,0.86%,0.90%,0.94%,Upgrade
Payout Ratio,60.90%,28.00%,-41.10%,33.30%,41.10%,48.90%,53.50%,67.60%,30.30%,28.00%,28.40%,26.70%,45.10%,65.70%,43.40%,35.90%,35.40%,45.10%,41.80%,42.60%,39.00%,42.60%,100.00%,45.10%,65.70%,50.00%,54.80%,50.00%,71.90%,57.50%,56.10%,54.80%,51.10%,53.50%,56.10%,46.00%,46.90%,53.50%,54.80%,46.90%,50.00%,Upgrade
Buyback Yield / Dilution,0.84%,0.84%,2.40%,2.01%,3.06%,3.02%,1.53%,1.53%,0.03%,0.68%,1.30%,1.52%,2.04%,2.05%,4.22%,4.76%,4.49%,3.89%,0.96%,0.18%,-0.08%,-0.19%,-0.17%,-0.17%,-0.17%,-0.11%,-0.10%,-0.10%,-0.09%,-0.13%,-0.17%,-0.17%,-0.17%,-0.16%,-0.38%,-0.38%,-0.41%,-4.00%,-3.71%,-3.71%,-3.70%,Upgrade
Total Shareholder Return,5.31%,1.77%,3.06%,2.76%,3.85%,3.78%,2.24%,2.24%,0.78%,1.36%,2.14%,2.59%,2.97%,3.04%,4.88%,5.44%,5.18%,4.57%,1.77%,0.86%,0.63%,0.55%,0.55%,0.52%,0.55%,0.61%,0.54%,0.73%,0.84%,0.87%,0.82%,0.82%,0.75%,0.78%,0.56%,0.61%,0.52%,-3.09%,-2.86%,-2.81%,-2.77%,Upgrade
