Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,522,608,716,601,592,614,640,616,663,711,643,503,610,524,840,790,767,751,663,821,858,814,884,855,744,753,837,678,612,578,585,556,668,653,689,610,632,666,678,561,512,Upgrade
Market Cap Growth,-,-0.99%,11.87%,-2.42%,-10.72%,-13.65%,-0.47%,22.35%,8.63%,35.71%,-23.45%,-36.27%,-20.40%,-30.24%,26.72%,-3.75%,-10.65%,-7.79%,-25.01%,-4.06%,15.36%,8.20%,5.58%,26.19%,21.54%,30.21%,43.17%,21.98%,-8.40%,-11.54%,-15.10%,-8.86%,5.67%,-1.87%,1.58%,8.63%,23.40%,26.83%,36.74%,4.79%,0.20%,Upgrade
Enterprise Value,67,153,237,-65,-255,-357,-282,-296,-231,-148,-196,-207,-111,191,589,545,430,348,321,532,454,401,514,448,270,290,340,193,44,-13,58,42,160,98,207,159,192,128,299,191,60,Upgrade
PE Ratio,6.91,8.01,9.52,8.52,8.71,9.51,10.41,10.42,11.76,13.35,12.26,9.58,11.48,9.25,14.53,13.17,12.68,12.27,10.79,15.55,17.11,17.32,20.49,18.36,16.56,17.44,19.66,16.15,14.69,13.78,13.85,13.01,15.61,14.88,15.59,13.81,14.47,15.98,17.04,14.40,13.31,Upgrade
PS Ratio,2.54,2.96,3.59,3.10,3.14,3.32,3.48,3.45,3.83,4.24,3.90,3.06,3.66,3.04,4.82,4.47,4.31,4.22,3.74,4.67,4.91,4.71,5.18,5.08,4.50,4.60,5.17,4.22,3.83,3.65,3.72,3.53,4.25,4.18,4.41,3.94,4.15,4.40,4.57,3.81,3.49,Upgrade
PB Ratio,0.85,0.99,1.19,1.02,1.00,1.03,1.07,1.05,1.15,1.25,1.13,0.90,1.10,0.96,1.56,1.50,1.49,1.50,1.35,1.72,1.82,1.76,1.93,1.88,1.66,1.72,1.94,1.56,1.42,1.37,1.42,1.35,1.66,1.63,1.75,1.57,1.64,1.79,1.87,1.58,1.47,Upgrade
Debt / Equity Ratio,0.30,0.30,0.29,0.30,0.33,0.51,0.49,0.48,0.50,0.49,0.47,0.44,0.42,0.37,0.38,0.39,0.43,0.43,0.33,0.37,0.39,0.44,0.53,0.48,0.52,0.50,0.48,0.41,0.44,0.40,0.46,0.45,0.42,0.49,0.48,0.46,0.47,0.53,0.56,0.52,0.51,Upgrade
Dividend Yield,5.18%,1.13%,0.96%,1.11%,1.13%,1.10%,1.05%,1.07%,0.99%,0.93%,1.02%,1.31%,1.08%,1.26%,0.79%,0.84%,0.86%,0.88%,0.99%,0.80%,0.74%,0.78%,0.71%,0.74%,0.85%,0.84%,0.75%,0.93%,1.02%,1.08%,1.07%,1.12%,0.93%,0.95%,0.90%,1.02%,0.98%,0.93%,0.91%,1.10%,1.21%,Upgrade
Payout Ratio,35.80%,38.70%,32.90%,34.60%,37.50%,39.30%,41.60%,39.20%,45.50%,46.70%,47.50%,46.70%,58.40%,49.40%,47.60%,44.90%,44.90%,45.50%,41.10%,43.40%,41.00%,42.60%,86.30%,50.10%,51.70%,57.50%,58.10%,57.50%,59.60%,60.20%,61.30%,58.60%,58.10%,58.10%,58.10%,58.10%,52.50%,56.60%,58.60%,60.20%,63.10%,Upgrade
Buyback Yield / Dilution,1.02%,1.02%,0.87%,0.72%,0.47%,0.35%,0.35%,0.11%,-0.01%,0.38%,0.50%,0.49%,0.40%,-0.06%,-0.27%,-0.38%,-0.41%,-0.41%,-0.57%,-0.46%,-0.45%,-0.51%,-0.42%,-0.53%,-0.53%,-0.52%,-0.47%,-0.47%,-0.46%,-0.43%,-0.39%,-0.50%,-0.41%,-0.41%,-0.47%,-0.36%,-0.49%,-0.52%,-0.55%,-0.56%,-0.57%,Upgrade
Total Shareholder Return,6.19%,2.14%,1.83%,1.83%,1.61%,1.44%,1.40%,1.18%,0.98%,1.31%,1.52%,1.80%,1.48%,1.20%,0.52%,0.45%,0.45%,0.47%,0.42%,0.35%,0.29%,0.26%,0.29%,0.21%,0.32%,0.32%,0.28%,0.45%,0.56%,0.65%,0.68%,0.62%,0.52%,0.54%,0.44%,0.66%,0.49%,0.41%,0.36%,0.54%,0.64%,Upgrade
