Metrics,Current,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31,2021-07-31,2021-04-30,2021-01-31,2020-10-31,2020-07-31,2020-04-30,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,+68 Quarters
Market Capitalization,449,489,508,822,623,563,329,306,292,295,262,237,299,318,195,252,224,208,245,221,189,187,174,172,170,169,174,176,160,164,163,134,142,147,153,164,143,123,92,89,92,Upgrade
Market Cap Growth,-,-13.12%,54.20%,168.86%,113.21%,90.46%,25.50%,29.02%,-2.06%,-7.03%,34.26%,-5.98%,33.35%,52.86%,-20.13%,14.07%,18.51%,11.42%,40.87%,28.68%,11.25%,10.16%,-0.25%,-2.30%,6.09%,3.27%,7.11%,31.57%,12.69%,11.37%,6.10%,-18.48%,-0.77%,19.93%,66.70%,83.70%,54.79%,28.20%,-6.66%,-23.98%,-23.22%,Upgrade
Enterprise Value,395,434,457,771,573,512,285,265,258,267,235,210,276,298,179,236,196,184,221,197,165,164,151,148,147,148,153,151,143,149,148,118,127,131,139,148,128,109,80,77,79,Upgrade
PE Ratio,25.32,27.39,27.88,36.74,26.17,21.58,11.98,12.80,12.56,15.29,15.22,14.34,19.98,19.85,14.47,20.02,18.64,20.16,14.51,14.14,12.82,12.98,25.48,27.60,16.38,16.05,15.80,15.25,21.95,23.03,22.01,18.12,19.48,18.69,19.83,22.27,21.15,18.57,14.52,14.19,13.97,Upgrade
PS Ratio,11.20,12.19,12.57,20.40,15.38,14.02,8.23,7.60,7.24,7.30,6.38,5.78,7.41,8.01,5.15,6.83,6.18,5.78,6.80,6.15,5.27,5.22,4.92,4.91,3.98,3.99,4.11,4.15,4.63,4.77,4.69,3.79,4.00,4.06,4.18,4.50,3.94,3.37,2.55,2.49,2.58,Upgrade
PB Ratio,5.46,5.94,6.33,10.36,7.83,7.09,4.29,4.33,4.36,4.65,4.43,4.18,5.58,5.85,3.79,5.12,4.71,4.43,5.27,4.89,4.34,4.19,4.48,4.48,4.49,4.41,4.55,4.52,4.63,4.68,4.67,3.85,4.12,4.21,4.47,4.86,4.30,3.71,2.80,2.73,2.80,Upgrade
Debt / Equity Ratio,0.08,0.08,0.08,0.09,0.09,0.10,0.10,0.15,0.16,0.17,0.19,0.20,0.22,0.18,0.19,0.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Current Ratio,2.85,2.85,2.71,2.66,2.58,2.44,2.41,1.98,1.84,1.85,1.78,1.58,1.51,1.50,1.35,1.24,1.24,1.20,1.15,1.11,1.07,1.10,1.09,1.09,1.05,1.06,0.99,1.03,0.76,0.74,0.72,0.73,0.72,0.74,0.70,0.70,0.68,0.64,0.59,0.58,0.61,Upgrade
Dividend Yield,2.16%,0.48%,0.47%,0.29%,0.38%,0.37%,0.64%,0.69%,0.72%,0.68%,0.77%,0.85%,0.68%,0.61%,0.99%,0.77%,0.86%,0.89%,0.75%,0.83%,2.00%,0.94%,1.01%,1.02%,1.03%,0.98%,0.95%,0.94%,1.04%,0.95%,0.96%,1.17%,1.04%,1.00%,0.96%,0.90%,1.03%,1.20%,1.61%,1.66%,1.60%,Upgrade
Payout Ratio,53.20%,45.50%,54.30%,53.20%,62.50%,37.30%,24.70%,35.50%,34.40%,28.80%,41.20%,38.20%,95.50%,39.20%,45.50%,52.60%,60.60%,76.00%,55.90%,59.40%,260.00%,19.40%,85.70%,78.30%,163.60%,113.30%,113.30%,26.20%,130.80%,80.00%,80.00%,72.70%,136.40%,68.20%,75.00%,71.40%,88.20%,71.40%,93.80%,100.00%,100.00%,Upgrade
Buyback Yield / Dilution,0.87%,0.87%,0.91%,0.79%,0.52%,0.52%,0.56%,0.59%,0.58%,0.54%,0.50%,0.45%,0.41%,0.48%,0.34%,0.30%,0.29%,0.14%,0.17%,0.21%,0.18%,0.15%,0.13%,0.31%,0.51%,0.56%,0.70%,0.66%,0.49%,0.44%,0.27%,0.12%,0.06%,0.13%,0.35%,0.49%,0.62%,0.59%,0.47%,0.33%,0.18%,Upgrade
Total Shareholder Return,3.03%,1.35%,1.38%,1.08%,0.90%,0.89%,1.20%,1.28%,1.30%,1.22%,1.27%,1.31%,1.09%,1.08%,1.32%,1.06%,1.15%,1.03%,0.92%,1.04%,2.18%,1.08%,1.14%,1.32%,1.54%,1.54%,1.65%,1.60%,1.53%,1.39%,1.23%,1.29%,1.10%,1.13%,1.31%,1.39%,1.64%,1.79%,2.08%,1.99%,1.78%,Upgrade
